GroupCode,GroupName,UnitCode,UnitName,SiteCode,SiteName,StartDate,Species,Abundance,Notes,IsPointCUI
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Gull,5,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Snowy Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Seal,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Great Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Blue Heron,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Human,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Tern,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Other Birds,7,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Large shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Cormorant,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Small shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Dog,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Pelican,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/12/2023,Oystercatcher,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Large shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Other Birds,31,25 Eiders; 6 Black Scoters,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Tern,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Small shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Pelican,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Blue Heron,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Great Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Oystercatcher,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/11/2019,Human,0,None,FALSE
