Year,ASTFOR,ASTRUB,HENSAN,STRDRO,LITLIT,LITOBT,LITSAX,NUCLAP,TECTES,ALGBRO,ALGGRE,ALGRED,BARSPP,MUSSPP
2013,1,7,1,68,304,1017,7,335,110,6522,439,2410,3568,301
2014,1,47,1,136,291,525,11,158,79,5641,267,1969,3255,623
2015,2,21,2,25,690,462,12,126,69,5618,592,1114,1504,291
2016,1,115,2,763,1408,2057,20,1172,130,9207,69,1762,2859,326
2017,23,38,2,1601,1888,1314,18,481,145,8278,261,2002,2543,207
2018,4,26,2,958,1944,1136,23,309,118,8210,192,1744,2207,60
